ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,Key,date,Period,Iteration,zeros,zeros_upper,zeros_lower
2021-09-21,1660.627,-138.79988,2117.485,1660.627,1660.627,-637.0797,-637.0797,-637.0797,-637.0797,-637.0797,-637.0797,0.0,0.0,0.0,1023.5472,85599_CL03_GT,2021-09-21,History,202309,,,
2021-10-01,1658.4038,-38.297184,2151.805,1658.4038,1658.4038,-622.5331,-622.5331,-622.5331,-622.5331,-622.5331,-622.5331,0.0,0.0,0.0,1035.8707,85599_CL03_GT,2021-10-01,History,202309,,,
2021-10-11,1656.1808,-22.26844,2349.2515,1656.1808,1656.1808,-514.0865,-514.0865,-514.0865,-514.0865,-514.0865,-514.0865,0.0,0.0,0.0,1142.0942,85599_CL03_GT,2021-10-11,History,202309,,,
2021-10-21,1653.9576,32.77888,2250.6162,1653.9576,1653.9576,-532.1986,-532.1986,-532.1986,-532.1986,-532.1986,-532.1986,0.0,0.0,0.0,1121.759,85599_CL03_GT,2021-10-21,History,202309,,,
2021-11-01,1651.5122,-217.19307,1980.2723,1651.5122,1651.5122,-750.9126,-750.9126,-750.9126,-750.9126,-750.9126,-750.9126,0.0,0.0,0.0,900.5997,85599_CL03_GT,2021-11-01,History,202309,,,
2021-11-11,1649.2892,-362.67267,1970.3778,1649.2892,1649.2892,-894.12274,-894.12274,-894.12274,-894.12274,-894.12274,-894.12274,0.0,0.0,0.0,755.16644,85599_CL03_GT,2021-11-11,History,202309,,,
2021-11-21,1647.066,-336.1426,1872.3287,1647.066,1647.066,-841.47516,-841.47516,-841.47516,-841.47516,-841.47516,-841.47516,0.0,0.0,0.0,805.59094,85599_CL03_GT,2021-11-21,History,202309,,,
2021-12-01,1644.843,-236.57011,2085.1033,1644.843,1644.843,-711.8105,-711.8105,-711.8105,-711.8105,-711.8105,-711.8105,0.0,0.0,0.0,933.03253,85599_CL03_GT,2021-12-01,History,202309,,,
2021-12-11,1642.6199,-147.5433,2260.9404,1642.6199,1642.6199,-604.09534,-604.09534,-604.09534,-604.09534,-604.09534,-604.09534,0.0,0.0,0.0,1038.5245,85599_CL03_GT,2021-12-11,History,202309,,,
2021-12-21,1640.3969,-30.398067,2225.178,1640.3969,1640.3969,-513.33167,-513.33167,-513.33167,-513.33167,-513.33167,-513.33167,0.0,0.0,0.0,1127.0652,85599_CL03_GT,2021-12-21,History,202309,,,
2022-01-01,1637.9514,-78.16248,2352.6897,1637.9514,1637.9514,-533.7976,-533.7976,-533.7976,-533.7976,-533.7976,-533.7976,0.0,0.0,0.0,1104.1538,85599_CL03_GT,2022-01-01,History,202309,,,
2022-01-11,1635.7283,-219.0987,2093.8281,1635.7283,1635.7283,-681.6822,-681.6822,-681.6822,-681.6822,-681.6822,-681.6822,0.0,0.0,0.0,954.04614,85599_CL03_GT,2022-01-11,History,202309,,,
